date,service_hrs,kitchen_hrs,dishwasher_hrs,service_per,kitchen_per,dishwasher_per,total_per,total_hrs
2020-01-01,196,107,52,17,12,3,32,355
2020-01-02,187,121,56,9,8,2,19,364
2020-01-03,225,106,55,15,8,2,25,386
2020-01-04,217,132,56,12,9,2,23,405
2020-01-05,161,104,43,11,9,2,22,308
2020-01-06,118,89,51,12,11,4,27,258
2020-01-07,117,91,48,18,14,4,36,256
2020-01-08,108,75,49,17,13,5,35,232
2020-01-09,117,83,44,17,12,4,33,244
2020-01-10,182,82,43,15,9,3,27,307
2020-01-11,209,107,54,12,8,3,23,370
2020-01-12,149,111,45,12,11,3,26,305
2020-01-13,118,89,50,13,11,3,27,257
2020-01-14,105,82,42,14,12,5,31,229
2020-01-15,108,89,46,12,10,5,27,243
2020-01-16,125,82,38,14,10,3,27,245
2020-01-17,174,84,40,16,9,3,28,298
2020-01-18,189,116,52,11,8,3,22,357
2020-01-19,156,106,45,13,9,3,25,307
2020-01-20,115,93,42,14,12,5,31,250
2020-01-21,118,76,39,15,10,4,29,233
2020-01-22,105,89,39,12,11,4,27,233
2020-01-23,126,83,46,13,9,4,26,255
2020-01-24,159,93,46,12,9,3,24,298
2020-01-25,204,114,52,10,7,3,20,370
2020-01-26,182,101,45,12,8,3,23,328
2020-01-27,109,92,39,12,11,4,27,240
2020-01-28,109,82,45,11,9,4,24,236
2020-01-29,119,89,39,12,11,3,26,247
2020-01-30,138,88,45,11,9,3,23,271
2020-01-31,168,88,53,13,8,4,25,309
2020-02-01,193,108,49,11,7,3,21,350
2020-02-02,157,98,39,13,9,3,25,294
2020-02-03,115,88,50,13,11,5,29,253
2020-02-04,126,79,44,13,9,4,26,249
2020-02-05,115,82,42,14,11,5,30,239
2020-02-06,116,87,54,12,10,5,27,257
2020-02-07,158,101,63,13,9,5,27,322
2020-02-08,197,114,50,11,7,3,21,361
2020-02-09,141,98,47,14,11,4,29,286
2020-02-10,114,92,55,13,12,6,31,261
2020-02-11,137,92,32,14,10,3,27,261
2020-02-12,145,91,54,13,8,4,25,290
2020-02-13,140,87,55,12,9,4,25,282
2020-02-14,150,104,61,9,7,4,20,315
2020-02-15,186,113,63,9,7,3,19,362
2020-02-16,161,108,48,13,9,3,25,317
2020-02-17,130,89,53,14,9,5,28,272
2020-02-18,122,87,39,14,11,4,29,248
2020-02-19,117,89,49,12,10,5,27,255
2020-02-20,121,86,58,12,11,6,29,265
2020-02-21,173,99,49,11,8,3,22,321
2020-02-22,203,115,61,10,7,3,20,379
2020-02-23,163,106,48,10,8,3,21,317
2020-02-24,120,91,60,12,12,6,30,271
2020-02-25,131,85,48,12,10,5,27,264
2020-02-26,119,82,53,13,10,5,28,254
2020-02-27,126,86,42,13,10,4,27,254
2020-02-28,164,99,68,11,10,6,27,331
2020-02-29,199,112,62,11,8,4,23,373
2020-03-01,161,102,47,11,9,4,24,310
2020-03-02,113,81,56,16,13,7,36,250
2020-03-03,110,84,53,13,11,6,30,247
2020-03-04,91,86,52,14,15,8,37,229
2020-03-05,127,83,53,15,11,6,32,263
2020-03-06,152,104,57,12,10,4,26,313
2020-03-07,167,111,56,9,7,3,19,334
2020-03-08,151,108,47,11,9,3,23,306
2020-03-09,102,88,43,13,13,5,31,233
2020-03-10,91,73,51,16,14,8,38,215
2020-03-11,89,61,48,11,9,6,26,198
2020-03-12,94,74,44,15,12,6,33,212
2020-03-13,98,72,41,16,12,6,34,211
2020-03-14,87,73,37,12,10,4,26,197
2020-03-15,50,55,25,24,27,10,61,130
2020-03-16,5,0,0,0,0,0,0,5
2020-03-17,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,0,0
2020-04-01,0,0,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0,0,0
2020-04-07,0,0,0,0,0,0,0,0
2020-04-08,0,0,0,0,0,0,0,0
2020-04-09,0,0,0,0,0,0,0,0
2020-04-10,0,0,0,0,0,0,0,0
2020-04-11,0,0,0,0,0,0,0,0
2020-04-12,0,0,0,0,0,0,0,0
2020-04-13,0,0,0,0,0,0,0,0
2020-04-14,0,0,0,0,0,0,0,0
2020-04-15,0,0,0,0,0,0,0,0
2020-04-16,0,0,0,0,0,0,0,0
2020-04-17,0,0,0,0,0,0,0,0
2020-04-18,0,0,0,0,0,0,0,0
2020-04-19,0,0,0,0,0,0,0,0
2020-04-20,0,0,0,0,0,0,0,0
2020-04-21,0,0,0,0,0,0,0,0
2020-04-22,0,0,0,0,0,0,0,0
2020-04-23,0,0,0,0,0,0,0,0
2020-04-24,0,0,0,0,0,0,0,0
2020-04-25,0,0,0,0,0,0,0,0
2020-04-26,0,0,0,0,0,0,0,0
2020-04-27,0,0,0,0,0,0,0,0
2020-04-28,0,0,0,0,0,0,0,0
2020-04-29,0,0,0,0,0,0,0,0
2020-04-30,0,0,0,0,0,0,0,0
2020-05-01,0,0,0,0,0,0,0,0
2020-05-02,0,0,0,0,0,0,0,0
2020-05-03,6,0,0,0,0,0,0,6
2020-05-04,0,0,0,0,0,0,0,0
2020-05-05,0,0,0,0,0,0,0,0
2020-05-06,0,0,0,0,0,0,0,0
2020-05-07,0,0,0,0,0,0,0,0
2020-05-08,0,0,0,0,0,0,0,0
2020-05-09,0,0,0,0,0,0,0,0
2020-05-10,0,0,0,0,0,0,0,0
2020-05-11,0,0,0,0,0,0,0,0
2020-05-12,0,0,0,0,0,0,0,0
2020-05-13,0,0,0,0,0,0,0,0
2020-05-14,0,3,0,0,0,0,0,3
2020-05-15,0,0,0,0,0,0,0,0
2020-05-16,0,0,4,0,0,0,0,4
2020-05-17,0,0,0,0,0,0,0,0
2020-05-18,0,0,0,0,0,0,0,0
2020-05-19,0,0,0,0,0,0,0,0
2020-05-20,0,0,0,0,0,0,0,0
2020-05-21,0,0,0,0,0,0,0,0
2020-05-22,0,0,0,0,0,0,0,0
2020-05-23,0,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0,0
2020-05-25,0,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,0,0,0
2020-05-27,0,0,0,0,0,0,0,0
2020-05-28,0,0,0,0,0,0,0,0
2020-05-29,0,0,0,0,0,0,0,0
2020-05-30,0,0,0,0,0,0,0,0
2020-05-31,0,5,0,0,0,0,0,5
2020-06-01,108,68,9,30,20,2,52,185
2020-06-02,78,53,6,28,20,1,49,137
2020-06-03,57,51,6,21,17,2,40,114
2020-06-04,58,53,7,22,17,2,41,118
2020-06-05,57,59,13,20,19,3,42,129
2020-06-06,59,66,14,15,16,3,34,139
2020-06-07,51,62,7,16,19,2,37,120
2020-06-08,49,52,13,21,22,4,47,114
2020-06-09,41,44,14,21,24,6,51,99
2020-06-10,56,47,8,16,15,2,33,111
2020-06-11,58,49,7,16,12,1,29,114
2020-06-12,62,58,18,14,12,3,29,138
2020-06-13,77,68,17,12,10,2,24,162
2020-06-14,52,56,14,15,16,3,34,122
2020-06-15,43,60,12,17,25,3,45,115
2020-06-16,43,48,15,17,20,5,42,106
2020-06-17,48,48,16,17,16,4,37,112
2020-06-18,49,59,14,17,21,4,42,122
2020-06-19,69,55,17,15,12,3,30,141
2020-06-20,69,69,16,10,12,2,24,154
2020-06-21,65,63,20,12,11,3,26,148
2020-06-22,52,52,16,18,17,4,39,120
2020-06-23,94,26,0,26,8,0,34,120
2020-06-24,105,16,0,24,5,0,29,121
2020-06-25,137,3,0,34,1,0,35,140
2020-06-26,144,0,0,21,0,0,21,144
2020-06-27,141,26,7,18,4,1,23,174
2020-06-28,72,54,21,12,9,3,24,147
2020-06-29,42,64,6,17,24,2,43,112
2020-06-30,54,36,9,19,12,2,33,99
2020-07-01,66,57,16,14,12,3,29,139
2020-07-02,65,70,14,14,16,2,32,149
2020-07-03,85,63,33,12,10,4,26,181
2020-07-04,116,70,30,12,8,3,23,216
2020-07-05,99,64,29,12,9,3,24,192
2020-07-06,55,64,14,13,17,3,33,133
2020-07-07,76,46,15,16,11,2,29,137
2020-07-08,53,55,21,18,17,5,40,129
2020-07-09,61,66,13,15,17,3,35,140
2020-07-10,91,61,27,13,8,3,24,179
2020-07-11,126,74,35,12,8,3,23,235
2020-07-12,100,68,31,12,10,3,25,199
2020-07-13,80,63,16,13,11,2,26,159
2020-07-14,76,50,15,14,10,2,26,141
2020-07-15,74,61,16,15,12,2,29,151
2020-07-16,69,68,14,12,12,2,26,151
2020-07-17,107,65,27,13,9,3,25,199
2020-07-18,154,62,26,14,7,2,23,242
2020-07-19,105,64,32,11,8,3,22,201
2020-07-20,80,68,15,12,11,2,25,163
2020-07-21,83,47,14,14,8,2,24,144
2020-07-22,75,63,14,13,11,2,26,152
2020-07-23,84,70,14,15,13,2,30,168
2020-07-24,93,55,33,12,9,3,24,181
2020-07-25,125,69,36,11,8,2,21,230
2020-07-26,102,59,30,13,9,3,25,191
2020-07-27,70,57,25,13,13,3,29,152
2020-07-28,86,54,27,13,9,2,24,167
2020-07-29,90,64,26,14,11,2,27,180
2020-07-30,90,65,25,11,11,2,24,180
2020-07-31,124,61,28,12,8,3,23,213
2020-08-01,156,58,37,12,7,3,22,251
2020-08-02,91,57,34,11,8,4,23,182
2020-08-03,72,57,24,14,13,4,31,153
2020-08-04,82,53,25,12,9,3,24,160
2020-08-05,94,61,24,17,11,3,31,179
2020-08-06,84,68,24,15,14,4,33,176
2020-08-07,90,64,35,13,10,4,27,189
2020-08-08,129,66,44,13,7,4,24,239
2020-08-09,109,70,27,14,11,3,28,206
2020-08-10,81,73,19,13,12,3,28,173
2020-08-11,93,49,26,13,8,3,24,168
2020-08-12,157,11,12,24,3,1,28,180
2020-08-13,126,36,13,20,7,2,29,175
2020-08-14,116,57,33,14,8,3,25,206
2020-08-15,139,72,43,13,8,4,25,254
2020-08-16,91,66,26,13,10,3,26,183
2020-08-17,72,65,18,15,15,3,33,155
2020-08-18,75,56,24,16,13,4,33,155
2020-08-19,91,64,24,17,15,4,36,179
2020-08-20,69,68,25,11,12,3,26,162
2020-08-21,106,68,33,12,12,4,28,207
2020-08-22,120,72,40,11,10,4,25,232
2020-08-23,101,61,26,17,11,4,32,188
2020-08-24,61,62,24,13,15,4,32,147
2020-08-25,70,49,23,17,13,4,34,142
2020-08-26,78,48,23,20,12,4,36,149
2020-08-27,67,56,23,14,12,4,30,146
2020-08-28,104,53,33,14,8,4,26,190
2020-08-29,109,70,40,12,9,4,25,219
2020-08-30,102,50,26,18,10,4,32,178
2020-08-31,66,62,34,15,16,5,36,162
2020-09-01,69,42,30,16,10,5,31,141
2020-09-02,67,53,34,20,17,7,44,154
2020-09-03,61,54,35,16,13,7,36,150
2020-09-04,108,66,44,15,10,5,30,218
2020-09-05,114,70,43,14,9,4,27,227
2020-09-06,86,58,32,14,10,5,29,176
2020-09-07,67,50,26,18,14,5,37,143
2020-09-08,58,47,27,14,13,5,32,132
2020-09-09,58,47,22,16,14,5,35,127
2020-09-10,65,49,25,16,12,5,33,139
2020-09-11,95,58,26,15,9,3,27,179
2020-09-12,112,67,37,12,8,3,23,216
2020-09-13,86,55,32,15,10,5,30,173
2020-09-14,65,55,24,13,13,4,30,144
2020-09-15,68,48,25,14,11,4,29,141
2020-09-16,57,52,24,18,17,6,41,133
2020-09-17,72,55,24,18,14,5,37,151
2020-09-18,90,62,28,16,12,4,32,180
2020-09-19,107,73,28,13,9,3,25,208
2020-09-20,68,61,25,15,14,5,34,154
2020-09-21,53,57,20,18,21,5,44,130
2020-09-22,56,50,16,13,13,3,29,122
2020-09-23,46,48,15,17,20,5,42,109
2020-09-24,52,58,16,13,15,3,31,126
2020-09-25,76,59,22,14,13,4,31,157
2020-09-26,102,74,27,11,9,2,22,203
2020-09-27,64,56,17,13,12,3,28,137
2020-09-28,52,50,16,26,25,6,57,118
2020-09-29,38,52,13,18,25,4,47,103
2020-09-30,42,40,11,19,18,4,41,93
2020-10-01,39,38,15,22,24,7,53,92
2020-10-02,65,46,19,18,14,4,36,130
2020-10-03,63,45,23,13,10,4,27,131
2020-10-04,57,50,34,17,15,8,40,141
2020-10-05,28,42,12,14,20,4,38,82
2020-10-06,38,41,5,21,24,2,47,84
2020-10-07,40,40,12,24,24,5,53,92
2020-10-08,34,41,11,13,17,4,34,86
2020-10-09,57,39,13,17,12,3,32,109
2020-10-10,68,58,22,14,12,3,29,148
2020-10-11,52,51,15,12,11,3,26,118
2020-10-12,35,44,12,15,19,4,38,91
2020-10-13,43,43,12,12,12,3,27,98
2020-10-14,62,44,11,15,11,2,28,117
2020-10-15,16,6,8,0,0,0,0,30
2020-10-16,35,6,11,0,0,0,0,52
2020-10-17,6,0,0,0,0,0,0,6
2020-10-18,0,0,0,0,0,0,0,0
2020-10-19,0,0,0,0,0,0,0,0
2020-10-20,0,0,0,0,0,0,0,0
2020-10-21,0,0,0,0,0,0,0,0
2020-10-22,6,0,0,0,0,0,0,6
2020-10-23,0,0,0,0,0,0,0,0
2020-10-24,0,0,0,0,0,0,0,0
2020-10-25,5,0,0,0,0,0,0,5
2020-10-26,4,0,0,0,0,0,0,4
2020-10-27,0,0,0,0,0,0,0,0
2020-10-28,0,0,0,0,0,0,0,0
2020-10-29,6,3,0,0,0,0,0,9
2020-10-30,4,0,0,0,0,0,0,4
2020-10-31,0,0,0,0,0,0,0,0
2020-11-01,4,0,0,0,0,0,0,4
2020-11-02,0,0,0,0,0,0,0,0
2020-11-03,0,0,0,0,0,0,0,0
2020-11-04,0,0,0,0,0,0,0,0
2020-11-05,9,0,0,0,0,0,0,9
2020-11-06,0,0,0,0,0,0,0,0
2020-11-07,0,0,0,0,0,0,0,0
2020-11-08,2,0,0,50,0,0,50,2
2020-11-09,0,0,0,0,0,0,0,0
2020-11-10,0,0,0,0,0,0,0,0
2020-11-11,0,0,0,0,0,0,0,0
2020-11-12,0,0,0,0,0,0,0,0
2020-11-13,0,0,0,0,0,0,0,0
2020-11-14,2,0,0,0,0,0,0,2
2020-11-15,0,0,0,0,0,0,0,0
2020-11-16,0,0,0,0,0,0,0,0
2020-11-17,0,0,0,0,0,0,0,0
2020-11-18,4,0,0,0,0,0,0,4
2020-11-19,2,0,0,0,0,0,0,2
2020-11-20,4,0,0,0,0,0,0,4
2020-11-21,0,0,0,0,0,0,0,0
2020-11-22,0,0,0,0,0,0,0,0
2020-11-23,0,0,0,0,0,0,0,0
2020-11-24,0,0,0,0,0,0,0,0
2020-11-25,0,0,0,0,0,0,0,0
2020-11-26,0,0,0,0,0,0,0,0
2020-11-27,0,0,0,0,0,0,0,0
2020-11-28,3,0,0,0,0,0,0,3
2020-11-29,0,0,0,0,0,0,0,0
2020-11-30,0,0,0,0,0,0,0,0
2020-12-01,0,0,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0,0,0
2020-12-05,0,0,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0,0,0
2020-12-08,0,0,0,0,0,0,0,0
2020-12-09,0,0,0,0,0,0,0,0
2020-12-10,0,0,0,0,0,0,0,0
2020-12-11,3,0,0,0,0,0,0,3
2020-12-12,1,0,0,0,0,0,0,1
2020-12-13,0,0,0,0,0,0,0,0
2020-12-14,0,0,0,0,0,0,0,0
2020-12-15,0,0,0,0,0,0,0,0
2020-12-16,0,0,0,0,0,0,0,0
2020-12-17,3,0,0,0,0,0,0,3
2020-12-18,11,8,12,0,0,0,0,31
2020-12-19,2,0,0,0,0,0,0,2
2020-12-20,2,0,0,0,0,0,0,2
2020-12-21,0,15,3,0,0,0,0,18
2020-12-22,4,20,0,0,0,0,0,24
2020-12-23,10,65,18,0,0,0,0,93
2020-12-24,9,34,13,0,0,0,0,56
2020-12-25,16,25,6,0,0,0,0,47
2020-12-26,0,6,3,0,0,0,0,9
2020-12-27,0,6,0,0,0,0,0,6
2020-12-28,0,9,0,0,0,0,0,9
2020-12-29,6,12,0,0,0,0,0,18
2020-12-30,6,22,6,0,0,0,0,34
2020-12-31,13,25,6,0,0,0,0,44
2021-01-01,12,2,4,0,0,0,0,18
2021-01-02,0,0,0,0,0,0,0,0
2021-01-03,0,0,0,0,0,0,0,0
2021-01-04,0,0,0,0,0,0,0,0
2021-01-05,6,0,0,0,0,0,0,6
2021-01-06,0,0,0,0,0,0,0,0
2021-01-07,0,0,0,0,0,0,0,0
2021-01-08,4,0,0,0,0,0,0,4
2021-01-09,5,0,0,0,0,0,0,5
2021-01-10,0,0,0,0,0,0,0,0
2021-01-11,4,0,0,0,0,0,0,4
2021-01-12,5,0,0,0,0,0,0,5
2021-01-13,0,0,0,0,0,0,0,0
2021-01-14,0,0,0,0,0,0,0,0
2021-01-15,0,0,0,0,0,0,0,0
2021-01-16,2,0,0,0,0,0,0,2
2021-01-17,0,0,0,0,0,0,0,0
2021-01-18,0,0,0,0,0,0,0,0
2021-01-19,0,0,0,0,0,0,0,0
2021-01-20,0,0,0,0,0,0,0,0
2021-01-21,0,0,0,0,0,0,0,0
2021-01-22,2,0,0,0,0,0,0,2
2021-01-23,1,0,0,0,0,0,0,1
2021-01-24,0,0,0,0,0,0,0,0
2021-01-25,0,0,0,0,0,0,0,0
2021-01-26,0,0,0,0,0,0,0,0
2021-01-27,0,0,0,0,0,0,0,0
2021-01-28,0,0,0,0,0,0,0,0
2021-01-29,1,0,0,0,0,0,0,1
2021-01-30,2,0,0,0,0,0,0,2
2021-01-31,0,0,0,0,0,0,0,0
2021-02-01,0,0,0,0,0,0,0,0
2021-02-02,0,0,0,0,0,0,0,0
2021-02-03,0,0,0,0,0,0,0,0
2021-02-04,0,0,0,0,0,0,0,0
2021-02-05,0,0,0,0,0,0,0,0
2021-02-06,0,0,0,0,0,0,0,0
2021-02-07,0,0,0,0,0,0,0,0
2021-02-08,0,0,0,0,0,0,0,0
2021-02-09,0,0,0,0,0,0,0,0
2021-02-10,0,0,0,0,0,0,0,0
2021-02-11,0,0,0,0,0,0,0,0
2021-02-12,0,0,0,0,0,0,0,0
2021-02-13,0,0,0,0,0,0,0,0
2021-02-14,0,0,0,0,0,0,0,0
2021-02-15,0,0,0,0,0,0,0,0
2021-02-16,0,0,0,0,0,0,0,0
2021-02-17,0,0,0,0,0,0,0,0
2021-02-18,0,0,0,0,0,0,0,0
2021-02-19,0,0,0,0,0,0,0,0
2021-02-20,0,0,0,0,0,0,0,0
2021-02-21,0,0,0,0,0,0,0,0
2021-02-22,0,0,0,0,0,0,0,0
2021-02-23,0,0,0,0,0,0,0,0
2021-02-24,0,0,0,0,0,0,0,0
2021-02-25,0,0,0,0,0,0,0,0
2021-02-26,0,0,0,0,0,0,0,0
2021-02-27,0,0,0,0,0,0,0,0
2021-02-28,0,0,0,0,0,0,0,0
2021-03-01,0,0,0,0,0,0,0,0
2021-03-02,0,0,0,0,0,0,0,0
2021-03-03,0,0,0,0,0,0,0,0
2021-03-04,0,0,0,0,0,0,0,0
2021-03-05,0,0,0,0,0,0,0,0
2021-03-06,0,0,0,0,0,0,0,0
2021-03-07,0,0,0,0,0,0,0,0
2021-03-08,0,0,0,0,0,0,0,0
2021-03-09,0,0,0,0,0,0,0,0
2021-03-10,0,0,0,0,0,0,0,0
2021-03-11,0,0,0,0,0,0,0,0
2021-03-12,0,0,0,0,0,0,0,0
2021-03-13,0,0,0,0,0,0,0,0
2021-03-14,0,0,0,0,0,0,0,0
2021-03-15,0,0,0,0,0,0,0,0
2021-03-16,0,0,0,0,0,0,0,0
2021-03-17,0,0,0,0,0,0,0,0
2021-03-18,0,0,0,0,0,0,0,0
2021-03-19,0,0,0,0,0,0,0,0
2021-03-20,0,0,0,0,0,0,0,0
2021-03-21,0,0,0,0,0,0,0,0
2021-03-22,0,0,0,0,0,0,0,0
2021-03-23,0,0,0,0,0,0,0,0
2021-03-24,0,0,0,0,0,0,0,0
2021-03-25,6,8,6,0,0,0,0,20
2021-03-26,0,0,0,0,0,0,0,0
2021-03-27,2,0,0,0,0,0,0,2
2021-03-28,0,0,0,0,0,0,0,0
2021-03-29,0,0,0,0,0,0,0,0
2021-03-30,0,0,0,0,0,0,0,0
2021-03-31,0,6,0,0,0,0,0,6
2021-04-01,0,0,0,0,0,0,0,0
2021-04-02,0,0,0,0,0,0,0,0
2021-04-03,0,0,0,0,0,0,0,0
2021-04-04,15,8,7,0,0,0,0,30
2021-04-05,1,5,0,0,0,0,0,6
2021-04-06,0,6,6,0,0,0,0,12
2021-04-07,0,0,0,0,0,0,0,0
2021-04-08,0,0,0,0,0,0,0,0
2021-04-09,0,0,0,0,0,0,0,0
2021-04-10,0,0,0,0,0,0,0,0
2021-04-11,0,0,0,0,0,0,0,0
2021-04-12,0,0,0,0,0,0,0,0
2021-04-13,0,0,0,0,0,0,0,0
2021-04-14,0,0,0,0,0,0,0,0
2021-04-15,0,0,0,0,0,0,0,0
2021-04-16,0,6,0,0,0,0,0,6
2021-04-17,0,0,0,0,0,0,0,0
2021-04-18,0,0,0,0,0,0,0,0
2021-04-19,0,0,0,0,0,0,0,0
2021-04-20,0,0,0,0,0,0,0,0
2021-04-21,0,0,0,0,0,0,0,0
2021-04-22,0,0,0,0,0,0,0,0
2021-04-23,0,6,0,0,0,0,0,6
2021-04-24,0,5,0,0,0,0,0,5
2021-04-25,3,0,0,0,0,0,0,3
2021-04-26,6,10,6,0,0,0,0,22
2021-04-27,5,0,0,0,0,0,0,5
2021-04-28,25,18,9,36,25,8,69,52
2021-04-29,18,20,0,239,222,0,461,38
2021-04-30,20,25,8,0,0,0,0,53
2021-05-01,26,39,0,14,19,0,33,65
2021-05-02,22,30,8,15,18,3,36,60
2021-05-03,23,22,17,16,14,8,38,62
2021-05-04,26,14,7,70,34,11,115,47
2021-05-05,21,10,8,65,26,14,105,39
2021-05-06,13,23,0,13,18,0,31,36
2021-05-07,13,31,8,7,15,3,25,52
2021-05-08,18,30,8,15,24,5,44,56
2021-05-09,30,31,10,14,13,3,30,71
2021-05-10,14,20,10,22,34,11,67,44
2021-05-11,11,16,8,10,17,5,32,35
2021-05-12,15,14,8,18,15,6,39,37
2021-05-13,26,29,15,15,18,7,40,70
2021-05-14,28,33,8,12,15,3,30,69
2021-05-15,26,25,8,13,11,3,27,59
2021-05-16,31,22,8,13,10,3,26,61
2021-05-17,32,14,7,35,26,7,68,53
2021-05-18,19,13,8,24,19,6,49,40
2021-05-19,16,25,13,21,37,13,71,54
2021-05-20,22,30,18,11,13,7,31,70
2021-05-21,30,38,9,16,21,4,41,77
2021-05-22,36,27,8,16,12,3,31,71
2021-05-23,25,39,18,11,19,7,37,82
2021-05-24,30,39,10,16,24,4,44,79
2021-05-25,36,21,9,24,17,5,46,66
2021-05-26,24,25,10,18,17,5,40,59
2021-05-27,8,27,14,5,15,6,26,49
2021-05-28,42,34,10,18,15,3,36,86
2021-05-29,25,31,14,6,8,3,17,70
2021-05-30,27,44,16,6,10,3,19,87
2021-05-31,36,37,10,13,14,3,30,83
2021-06-01,41,35,13,18,13,4,35,89
2021-06-02,41,36,13,17,14,5,36,90
2021-06-03,38,40,13,14,15,4,33,91
2021-06-04,50,36,12,22,14,3,39,98
2021-06-05,73,49,30,12,8,3,23,152
2021-06-06,77,51,29,14,10,2,26,157
2021-06-07,62,41,32,16,11,3,30,135
2021-06-08,61,40,26,18,13,2,33,127
2021-06-09,55,44,24,18,14,6,38,123
2021-06-10,63,42,21,15,11,4,30,126
2021-06-11,70,44,30,15,10,4,29,144
2021-06-12,74,54,35,11,9,3,23,163
2021-06-13,69,51,27,10,8,2,20,147
2021-06-14,56,42,21,17,13,3,33,119
2021-06-15,61,41,28,16,11,3,30,130
2021-06-16,61,38,27,15,11,4,30,126
2021-06-17,64,39,33,14,10,5,29,136
2021-06-18,64,45,34,15,12,5,32,143
2021-06-19,78,49,38,11,7,4,22,165
2021-06-20,70,50,30,10,7,3,20,150
2021-06-21,60,38,21,22,14,4,40,119
